"id","priority","area","title","observation","impact","recommendation","acceptance","evidence"
"F01","P1","存储与规则","服务异常升级为整页崩溃","视频人物页报 undefined.length，规则页报 undefined.active，内容区被通用错误卡替代。","用户无法继续浏览，也不知道是没有数据还是服务故障。","对空响应和失败响应分别处理；局部错误边界保留导航与已加载内容，提供重试和诊断入口。","断开依赖、返回空对象或空集合时页面均不崩溃；错误说明包含受影响功能。","138 168"
"F02","P1","本地数据库","数据加载失败时展示硬编码文件数量","NAS 返回 502，本机页仍出现 Applications 142、Documents 326、Pictures 8426 等目录计数；源码 fallbackFolders 确认这些是静态回退数据。","用户可能把示例数字当成本机扫描结果，直接损害对数据的信任。","移除生产错误路径中的示例数据；未知计数显示“未读取”，成功扫描后才显示数字及时间。","NAS 断开后不出现伪造计数、不声称文件已入索引；恢复后显示真实统计。","132 134 135 141"
"F03","P1","系统状态","读取失败、空数据和健康状态混在一起","运营接口 403 后仍显示 0、无差距、链正常和插件通过；CPU 内存检测显示 0GB；检查结果旁同时出现“通过”和 error/warn。","用户无法判断系统是否可用，管理员也难以定位故障。","统一 loading / ready / empty / unavailable / denied 状态；指标未知用破折号；检查严重级别与结果分栏标注。","任何失败请求都不能产生“全部正常”结论；每条状态明确作用对象和数据时间。","41 146 147 295 298 323"
"F04","P1","任务与结果","一个来源失败被呈现为整个任务异常","对话已有最终研究结果，侧栏仍标异常待处理；回执只突出一个抓取失败的网址，没有总结已完成结果。","用户可能重复运行任务，或误以为已有成果无效。","分开运行结果与步骤警告；采用“完成，1 项来源未获取”，列出成果和只重试失败步骤的动作。","成功交付且非关键步骤失败时显示部分完成或完成含警告；聊天、侧栏、回执口径一致。","256 268 305"
"F05","P1","插件与权限","目录可安装与当前账号可安装没有统一判断","云插件预检返回 403；多个能力入口可点击后才说明管理员权限或运行环境不足；ComfyUI 离线状态与已核对文案并存。","用户不断尝试同一个不可执行动作，容易把部署权限问题当成操作错误。","在卡片阶段显示可用性、缺少的权限或依赖；错误提示给出具体修复入口，区分安装、连接、启用、运行。","无权限/未就绪的卡片给出明确原因和下一步；不再只返回英文 HTTP 错误。","53 81 82 130 184"
"F06","P1","弹层与导航","导航后旧弹层仍遮住目标页面","设置内 OpenCode Zen 已改变路由但设置未关闭；移动侧栏跳转仍覆盖目标页；邀请真人入口复核未稳定出现表单。","用户认为点击无效，重复点击可能重复触发准备动作。","统一导航与弹层关闭协议；邀请流程显示准备中、超时及可重试错误，避免无反馈。","导航成功后遮挡层关闭；邀请准备失败在原入口就近显示原因，不静默消失。","37 258 313"
"F07","P1","AI 浏览器","主页面板背景透明，键盘关闭层级不正确","主题等面板与背后桌面内容透叠；小组件编辑时 Escape 退出背后的桌面编辑状态而未关闭顶层窗口。","文字难以阅读，键盘用户无法预测 Escape 的作用。","为浮层提供可靠背景与边界；统一弹层栈，Escape 只处理最顶层并恢复焦点。","浅深主题均不透出干扰正文；连续 Escape 按从内到外顺序关闭且不改变后台状态。","215 221 224 225 226"
"F08","P1","移动端设计画布","画布导航挤叠，宿主返回入口消失","390px 下顶栏多组文字纵向挤叠；对话栏占满宽度，画布工具在视口外；关闭宿主侧栏后没有返回 HUB 的页面入口。","手机用户进入工作台后难以切换视图或离开。","保留宿主导航按钮；手机采用对话/画布显式页签，工具条溢出收纳，设置改底部抽屉。","390px 无非画布内容横向溢出，返回和当前主操作始终可见。","314 315 316 317"
"F09","P1","预览与电脑","模拟预览被标成会话正常","预览显示空白和 mock，却写会话运行正常；电脑页同时出现 Forbidden、检查中和降级可用；助手空态也出现主电脑已完成。","用户无法区分真实设备连接与占位界面。","真实连接、演示、未启动、离线分开呈现；无网址/产物时给开始动作；未就绪时限制运行。","模拟状态不显示真实运行成功；每个设备状态都有明确主机对象和恢复动作。","199 202 261 265 283"
"F10","P2","信息架构","账号、角色、工作区和项目层级混杂","侧栏本地项目与项目管理数据不同；用户菜单同时切换角色；两套移动导航入口集合不同，命令面板缺少新应用。","相同名词指向不同对象，用户很难建立稳定的位置感。","明确个人空间、文件夹项目、协作项目的关系；一个导航注册表驱动侧栏、命令面板和移动抽屉；账号与当前角色分区。","每个顶层应用在桌面和移动导航均可到达；项目来源和作用范围有明确标识。","63 65 99 242 254 309 312"
"F11","P2","模型与双引擎","主流程暴露过多配置概念","输入区同时呈现权限、引擎、模型、模式、协作方式；高级区出现 proposer/aggregator、fallback 和内部模型 ID。","开始任务前需要理解系统实现，双引擎增加了选择负担。","默认呈现任务模式和当前可用模型；引擎选择放入运行设置，自动路由旁用一句话解释实际选择；保留专家入口。","默认首屏能直接提交任务；展开详情可核对实际引擎、模型、权限与选择原因，显示名称与真实状态一致。","3 4 18 38 39 40 294 325"
"F12","P2","HUB 搜索与目录","搜索范围和空结果文案不一致，目录有同名重复项","不存在的搜索词不影响上方应用卡片，下方显示暂无精选应用；插件分页后出现多个同名卡片；Skill 描述有 | 或 >。","难以找到能力，也无法判断同名项是否来自不同发布者。","统一搜索应用/插件/角色的范围；空结果写明查询词和清除动作；按稳定 ID 去重并显示发布者；正确解析描述。","无匹配查询不保留未解释的结果；不同来源同名项可区分，同 ID 不重复。","57 299 300 301 302 303"
"F13","P2","能力状态","安装、启用、授权的作用范围不清","宿主插件菜单与 HUB 数量不同；ARM 技能开关关着但显示已启用；未授权与可用标记同时出现。","用户不知道某个能力最终能否被当前任务使用。","统一展示来源、安装位置、连接、全局启用、角色授权、当前任务有效状态；只突出最终可用状态。","任意能力都能回答当前角色能否使用及原因；同一来源计数跨页面一致。","51 54 79 247 248 249 277"
"F14","P2","空态与恢复","多个空页面没有可执行的下一步","开发工作台缺工作区选择动作，产物只提示生成代码，成长页无获取数据指引；情报面板露出内部占位字段。","用户到达页面后停住，不知道如何获得首个有效结果。","按无数据、未选择项目、缺服务分别设计空态；保留一个直接动作；隐藏未实现面板。","每个可恢复空态提供就近动作，不要求用户自行寻找设置。","108 141 144 244 245 246 260 262 274"
"F15","P2","平台适配","Windows 场景出现 macOS 权限和快捷键提示","桌面自动化指向 macOS 权限；侧栏和画布写 ⌘，快捷键面板写 Ctrl；原生选择器和窗口发现缺清楚等待说明。","用户会按错误的平台指引排障。","按前端宿主和目标执行主机分别展示环境；原生调用增加等待、取消和备用路径说明；快捷键随平台切换。","Windows 网页与桌面版都有对应指引；原生能力不可用时网页可继续选择最近路径或输入路径。","26 89 201 253 255 275 319"
"F16","P2","表单与可访问性","输入、图标按钮和开关缺少名称或关联标签","多个图标/开关在可访问树中无名称；表单仅使用 placeholder；IRC 布尔选项使用文本框，JSON 凭据使用狭窄输入。","键盘和屏幕阅读器用户难以识别操作，填长凭据也容易出错。","统一字段 Label、说明、校验及 aria 关联；布尔用开关、长 JSON 用多行编辑；图标按钮补对象名称。","可访问树中交互控件都有明确名称；键盘可完成未提交的表单导航，错误与字段关联。","55 56 76 103 170 181 190 197 247 281 324"
"F17","P2","长弹窗","角色编辑首屏看不到保存和取消","912px 高桌面视口里长 Prompt 将角色编辑操作区推到不可见区域；设置弹窗的独立滚动方案更成熟。","用户输入后难以确认如何保存或退出。","复用设置弹窗的最大高度、内容滚动和固定底部按钮；文本编辑区限制高度。","900×700 和 390×844 下退出/保存始终可发现，不依赖外层页面滚动。","251 306 307"
"F18","P2","自动化","计划创建缺少执行时区和结果去向","频率和时间可设置，但看不到时区、下次运行时间、输出位置和离线行为。","容易在错误时间运行，用户不知道到哪里看结果。","保存前提供自然语言计划预览，显示时区、下一次执行、目标会话和离线处理；高级区配置预算。","用户保存前可准确复述何时、在哪里、用什么执行，输出到哪里。","103 105 288"
"F19","P2","创作与社区","预览和内容资源质量不稳定","模板卡有视频时长但预览只显示静态图；社区/商品封面破图；Skill 详情优先展示 YAML 源码。","用户难以判断模板和内容是否可用，影响选择信心。","准确标注示例图或可播放视频；图片失败用明确替代态；详情先用途、输入、输出、依赖，再折叠源码。","时长标记与实际媒体类型一致；破图不露出损坏图片图标；主要内容无需读源码。","74 78 81 82 123 127 129"
"F20","P2","语言与品牌","中文界面混入内部术语和未完成文案","界面混用 Echo/Octopus、0.2.0/2.0、原始对象和英文状态；部分公开页面含开发待办，ReAct 文档返回 404。","产品像多个模块拼接，用户难以区分产品版本、引擎版本与实现细节。","建立统一名称和状态词表；品牌/构建/引擎版本分开标注；移除待办、修复文档链接、正确渲染结构化对象。","普通模式不显示 [object Object]、开发待办或原始状态键；帮助入口可打开有效内容。","61 101 108 158 160 236 237 238 276 295"
"F21","P2","任务交付","研究成果和工程工作台争夺主界面","研究任务右侧长期显示失败终端；通用产物面板仍以代码预览为中心；回放需要多层展开才能接近工具结果。","完成任务后的阅读、保存、核对来源流程不顺畅。","按任务类型展示成果工作台：报告、来源、文件、运行过程；终端仅在工程任务或主动打开时显示。","研究任务完成后默认可直接找到报告与来源；单步工具输入输出一次展开可看。","256 260 262 268 269 270 271"
"F22","P2","安全操作反馈","删除、安装和标注提交的交互规范不一致","聊天删除有明确目标确认；插件卸载源码为直接 API 调用；小组件确认未显著命名目标；空标注仍可发送。","相似动作的后果和保护程度难以预测。","有副作用的操作统一说明目标与影响；支持撤销的操作优先撤销提示；空提交禁用并说明缺少什么。","用户能在动作前或可撤销期限内明确知道影响对象；不发送空标注。","31 54 222 223 266 282"
