"file","status","reason","evidence"
"frontend/src/components/browser/url-bar.tsx","部分已查","更多/隐私/历史/下载已查；站点信息、查找、设备权限与密码需真实桌面webview；清数据确认未触发。","207–212"
"frontend/src/app/workspace/channels/page.tsx","部分已查","26种凭据窗口均打开；真实连接/配对依赖账号。","170–198"
"frontend/src/components/browser/browser-home.tsx","部分已查","所有主面板和草稿编辑已查；重置布局/删除用户条目未执行；设置底层复用聚焦搜索、编辑、回主页、重置四个动作。","206,215–233"
"frontend/src/components/store/workbuddy-cloud-store-panel.tsx","部分已查","云目录与权限预检已查；真实安装/授权/连接完成态未执行。","52,53,299,300"
"frontend/src/app/workspace/storage/page.tsx","受阻/部分已查","全部库入口和失败态已查；真实文件/模型/扫描详情受NAS502限制。","132–141,296"
"frontend/src/components/store/capability-market-panel.tsx","部分已查","推荐/全部/已安装/远程目录已查；卸载源码直调API，未卸载用户插件。","51–56,299–301"
"frontend/src/app/workspace/agents/new/page.tsx","部分已查","新建角色页面已查；没有生成或保存角色。","61"
"frontend/src/app/apps/media/page.tsx","受阻","媒体后端权限拒绝，数据后续窗口未验证。","204"
"frontend/src/components/ui/confirm-dialog.tsx","复用组件已查","通过聊天删除、重置、组件删除的取消流程检查；非所有业务提交变体。","31,223,282"
"frontend/src/components/ui/command.tsx","复用组件已查","命令面板/搜索；未执行命令。","254"
"frontend/src/components/ui/dialog.tsx","复用组件已查","多个对话框及移动/深色代表状态；不等同每个调用者全状态通过。","21,31,307,324"
"frontend/src/app/workspace/observability/page.tsx","部分已查","全页签与底部卡片已查；请求拒绝及空数据限制后续窗口。","145–154,297–298,323–324"
"frontend/src/components/ui/prompt-dialog.tsx","复用组件已查","通过文件夹/图标输入检查并取消。","216–218"
"frontend/src/components/workspace/api-publish-panel.tsx","源码存在，未挂载","未找到运行时调用者，不能从当前导航进入 API 发布窗口。",""
"frontend/src/components/ui/sidebar.tsx","复用组件已查","桌面和移动导航开关、折叠。","241,312,313"
"frontend/src/components/workspace/chat-input-box/ChatComposer.tsx","部分已查","主要菜单、空输入、现有任务显示；未发送/再生成/触发原生上传。","273–279,308,318"
"frontend/src/components/workspace/chat-input-box/AutomationTargetControl.tsx","受阻","窗口发现持续等待，未取得宿主窗口列表。","275"
"frontend/src/components/workspace/command-palette.tsx","已查当前窗口","命令菜单、快捷键和缺少入口核对。","254,255"
"frontend/src/components/workspace/channel-pairings-sheet.tsx","条件未验证","只有已连接渠道才暴露配对管理；26种渠道都未连接。","170–198"
"frontend/src/components/workspace/agents/smart-team-dialog.tsx","已查未提交","空目标时按钮禁用；未创建协作任务。","59"
"frontend/src/components/workspace/channel-credential-dialog.tsx","部分已查","26种动态表单已打开并关闭，没有写入凭据。","171–198"
"frontend/src/components/workspace/agent-operator/dialogs/ReplayGateOverrideDialog.tsx","条件未验证","需尝试应用晋升项并触发门禁；当前数据/权限不可用，未执行变更。","146,323"
"frontend/src/app/workspace/design/page.tsx","部分已查","宿主入口及远端工作台已查；专用节点/运行产物取决于数据。","66–98,313–317,322"
"frontend/src/components/workspace/browser-preview-panel.tsx","部分已查","预览/选项/标注/日志已查；真实浏览器及发布未验证。","261,265–267"
"frontend/src/components/workspace/agents/agent-world-unified.tsx","部分已查","角色HUD所有数据页签和配置入口；立绘生成、保存未执行。","243–251"
"frontend/src/components/workspace/agents/agent-role-profile-dialog.tsx","部分已查","角色档案、能力配置和编辑入口；未生成立绘。","243–251"
"frontend/src/components/workspace/credits-center.tsx","部分已查","积分中心已查；签到/购买/兑换未执行。","252"
"frontend/src/components/workspace/collab/team-members-dialog.tsx","源码存在，未挂载","仅定义/聚合导出，未找到页面调用。",""
"frontend/src/components/workspace/agents/agent-card.tsx","部分已查","卡片、目录筛选与详情代表；未逐条安装角色。","58,62,302,303"
"frontend/src/components/workspace/daily-claim-dialog.tsx","条件未验证","每日签到会写入积分；自动弹窗包装没有当前挂载入口，未执行签到。","252"
"frontend/src/components/workspace/agents/agent-arms-dialog.tsx","部分已查","ARM、Skill、权限、预算页；未保存/重置。","247–250"
"frontend/src/components/workspace/collab/invite-dialog.tsx","受阻","入口点击未稳定打开，未生成邀请；不把源码字段当已验证界面。","258"
"frontend/src/components/workspace/create-project-dialog.tsx","已查未提交","创建表单已查并取消。","64,73"
"frontend/src/components/workspace/collab/create-task-dialog.tsx","条件未验证","项目任务面板需要现有协作项目；当前项目列表为空。","63,64"
"frontend/src/components/workspace/collab/cowork-room-message-actions.tsx","部分已查","消息操作入口可见；编辑并重发/重试/派生会产生任务，未触发。","256,269"
"frontend/src/components/workspace/evolution-panel.tsx","受阻/部分已查","全页签错误态/运行设置已查，晋升回滚依赖管理员数据。","109–122,295"
"frontend/src/components/workspace/automation/automation-create-dialog.tsx","已查未提交","创建、模板预填、频率/每周均已查；未建立计划。","103–105,288"
"frontend/src/components/workspace/execution-engine-picker.tsx","已查当前窗口","自动/引擎菜单；未更改当前任务执行选择。","3"
"frontend/src/components/workspace/automation/automation-configured-tab.tsx","部分已查","配置列表为空；编辑、启停、删除依赖已有计划。","106,285"
"frontend/src/components/workspace/agent-operator/cards/PublisherTrustCard.tsx","部分已查","轮换窗口已查且取消；吊销/替换现有密钥需真实密钥数据。","323,324"
"frontend/src/components/workspace/assistant-settings-menu.tsx","已查当前窗口","助手新会话配置菜单，未修改。","284"
"frontend/src/components/workspace/coder-engine-control.tsx","部分已查","模型来源与运行详情、Connector；未改配置。","18,38,294"
"frontend/src/components/workspace/export-trigger.tsx","源码存在，未挂载","当前分享菜单提供HTML导出；旧导出窗口未找到运行时调用。","259"
"frontend/src/components/workspace/chats-drawer.tsx","已查当前窗口","手机历史、搜索空态、导航跳转。","309,310"
"frontend/src/components/workspace/agent-workbench-panel/workbench-tab-header.tsx","已查当前窗口","标签、隐藏标签列表、右侧窗口关闭恢复。","260–265,304,305"
"frontend/src/components/workspace/intelligence-panel.tsx","部分已查","订阅页签、创建和占位面板；执行后窗口无数据。","102–108"
"frontend/src/components/workspace/memory-assets-panel.tsx","部分已查","已查空态；资产详情/编辑依赖已有记忆。","143"
"frontend/src/components/workspace/model-picker.tsx","已查当前窗口","当前可用模型菜单；不同模型属性变体未逐个选用。","4"
"frontend/src/components/workspace/mount-point-dialog.tsx","条件未验证","WorkspaceSwitcher 需多于一个工作区；当前单工作区无挂载点配置入口。","6,253,319"
"frontend/src/components/workspace/module-editor-dialog.tsx","已查当前窗口","侧栏模块编辑草稿；未保存变更。","241"
"frontend/src/components/workspace/member-profile-popover.tsx","受阻","两次复核未取得稳定可见浮层。","326"
"frontend/src/components/workspace/paused-tasks-banner.tsx","源码存在，未挂载","PausedTasksBanner 没有运行时调用者。",""
"frontend/src/components/workspace/pay-order-dialog.tsx","条件未验证","计费服务不可用，套餐购买和订单窗口不可达；未创建订单。","16,292"
"frontend/src/components/workspace/onboarding/index.tsx","源码存在，未挂载","OnboardingGuide 当前没有运行时挂载。",""
"frontend/src/components/workspace/messages/message-list-item.tsx","部分已查","当前文本、工具组、错误恢复、操作入口；多媒体/审批/子任务变体无当前数据。","256,269–271,326"
"frontend/src/components/workspace/permission-indicator.tsx","已查当前窗口","权限分级及解释；未变更。","2"
"frontend/src/components/workspace/p2/message-feedback.tsx","源码存在，未挂载","旧反馈组件只有定义/导出；当前消息反馈按钮属于另一实现。",""
"frontend/src/components/workspace/messages/subagent-details-panel.tsx","条件未验证","仅并行子任务网格里有入口，当前对话无该类型执行记录。","269,270"
"frontend/src/components/workspace/realtime/project-group-header-badge.tsx","条件未验证","需要已提升的项目群组；当前会话只有提升项目的入口。","279"
"frontend/src/components/workspace/realtime/promote-group-to-project-dialog.tsx","已查未提交","目标空值禁用创建；未提交。","279"
"frontend/src/components/workspace/realtime/task-collaborator-control.tsx","部分已查","成员选择、来源与邀请入口；未增删成员。","257,258"
"frontend/src/components/workspace/recent-chat-list.tsx","已查当前窗口","会话菜单/重命名/删除确认，均取消。","280–282"
